iter	Passed	Remaining
751	2981	983
752	2983	978
753	2984	973
754	2988	969
755	2989	964
756	2990	959
757	2991	955
758	2993	950
759	2994	945
760	2996	941
761	2997	936
762	2998	931
763	3000	926
764	3002	922
765	3003	917
766	3005	912
767	3006	908
768	3007	903
769	3009	898
770	3010	894
771	3011	889
772	3013	884
773	3015	880
774	3018	876
775	3019	871
776	3020	866
777	3021	862
778	3023	857
779	3025	853
780	3026	848
781	3028	844
782	3029	839
783	3032	835
784	3034	830
785	3035	826
786	3036	821
787	3037	817
788	3038	812
789	3039	807
790	3040	803
791	3040	798
792	3041	794
793	3042	789
794	3044	784
795	3045	780
796	3047	776
797	3048	771
798	3049	767
799	3050	762
800	3051	758
801	3052	753
802	3054	749
803	3055	744
804	3055	740
805	3056	735
806	3057	731
807	3059	726
808	3060	722
809	3063	718
810	3064	714
811	3066	709
812	3067	705
813	3069	701
814	3070	696
815	3072	692
816	3073	688
817	3075	684
818	3078	680
819	3080	676
820	3081	671
821	3084	667
822	3085	663
823	3087	659
824	3088	655
825	3090	651
826	3091	646
827	3093	642
828	3095	638
829	3097	634
830	3099	630
831	3100	626
832	3101	621
833	3102	617
834	3104	613
835	3107	609
836	3109	605
837	3110	601
838	3111	597
839	3112	592
840	3113	588
841	3114	584
842	3115	580
843	3116	576
844	3118	571
845	3119	567
846	3122	564
847	3123	559
848	3124	555
849	3125	551
850	3126	547
851	3127	543
852	3128	539
853	3129	535
854	3130	530
855	3131	526
856	3132	522
857	3133	518
858	3134	514
859	3137	510
860	3138	506
861	3140	502
862	3141	498
863	3142	494
864	3143	490
865	3144	486
866	3144	482
867	3145	478
868	3146	474
869	3147	470
870	3148	466
871	3149	462
872	3152	458
873	3153	454
874	3154	450
875	3155	446
876	3157	442
877	3158	438
878	3159	434
879	3160	430
880	3161	426
881	3161	423
882	3163	419
883	3163	415
884	3164	411
885	3168	407
886	3169	403
887	3170	399
888	3171	395
889	3172	392
890	3173	388
891	3174	384
892	3175	380
893	3176	376
894	3178	372
895	3179	369
896	3180	365
897	3183	361
898	3184	357
899	3185	353
900	3186	350
901	3187	346
902	3188	342
903	3189	338
904	3191	334
905	3191	331
906	3193	327
907	3193	323
908	3195	319
909	3198	316
910	3199	312
911	3201	308
912	3202	305
913	3204	301
914	3205	297
915	3206	294
916	3207	290
917	3209	286
918	3210	282
919	3214	279
920	3215	275
921	3216	272
922	3217	268
923	3218	264
924	3219	261
925	3220	257
926	3221	253
927	3222	250
928	3223	246
929	3224	242
930	3227	239
931	3229	235
932	3230	231
933	3231	228
934	3232	224
935	3233	221
936	3234	217
937	3235	213
938	3236	210
939	3238	206
940	3239	203
941	3242	199
942	3244	196
943	3245	192
944	3246	188
945	3247	185
946	3248	181
947	3249	178
948	3250	174
949	3251	171
950	3252	167
951	3254	164
952	3255	160
953	3257	157
954	3258	153
955	3259	150
956	3261	146
957	3262	143
958	3263	139
959	3264	136
960	3265	132
961	3268	129
962	3273	125
963	3274	122
964	3275	118
965	3276	115
966	3277	111
967	3278	108
968	3280	104
969	3281	101
970	3282	98
971	3283	94
972	3286	91
973	3288	87
974	3289	84
975	3290	80
976	3292	77
977	3293	74
978	3294	70
979	3295	67
980	3296	63
981	3297	60
982	3298	57
983	3300	53
984	3302	50
985	3303	46
986	3304	43
987	3305	40
988	3306	36
989	3307	33
990	3308	30
991	3309	26
992	3310	23
993	3311	19
994	3312	16
995	3313	13
996	3315	9
997	3317	6
998	3318	3
999	3319	0
